Date,HYDRA_Lite,HYDRA,SPY
2005-04-05,0.008091885952000753,0.0,0.0
2005-04-06,0.0025822995054926457,-0.0127628941754618,0.003468902204654345
2005-04-07,0.001711187620042329,-0.0036939895858072,0.0053967282435660735
2005-04-08,-0.00351985518647632,-0.0016203025421131,-0.010399569652188911
2005-04-11,0.005622191255411619,0.0030906066536145,0.0007626413685390965
2005-04-12,0.010539466737807413,0.0088197520355361,0.005165856773588828
2005-04-13,1.4127607132490724e-05,0.0087257447049431,-0.011794903146689184
2005-04-14,0.001233107644164922,0.005966849845674,-0.01304332919681983
2005-04-15,0.0026688700785999957,0.0114188534317345,-0.013993425817464544
2005-04-18,-0.006748353853913197,-0.0075480472294809,0.0030663613984276417
2005-04-19,0.010972702383879162,0.0146990534695697,0.007947736000441186
2005-04-20,-0.010530709974888669,-0.0094457688116708,-0.013950444254726357
2005-04-21,0.0011467919311556217,-0.009843089694952,0.019419963673694918
2005-04-22,0.00012907767623797505,0.0026150086943004,-0.0037924372420145014
2005-04-25,0.006463634862525476,0.0051287631385002,0.006576226381752592
2005-04-26,-0.006513231149861998,-0.0052554466889454,-0.009714239307475725
2005-04-27,0.007663031880881814,0.0091938922119321,0.00390676727684558
2005-04-28,0.005645935454761532,0.0095949669937237,-0.012538112828542558
2005-04-29,-0.0008418054471261764,-0.0063937355646065,0.013572779642433863
2005-05-02,0.003628944881590456,0.0026007110405122,0.005615882779389292
2005-05-03,0.0028059018999605097,0.0048879570187502,0.001717742458493987
2005-05-04,0.0033900725135857937,0.0035420854328788,0.007718657315681554
2005-05-05,0.0024698715442012793,0.0070567842404355,-0.00034025598263520695
2005-05-06,-0.011497512501363868,-0.0195888387293801,-0.003150471399157584
2005-05-09,0.003923339928935844,0.0004106677408625,0.006235086855172378
2005-05-10,0.0007254908275833116,0.0049660737717792,-0.010355005467541312
2005-05-11,0.004698857702290996,0.0064445988546002,0.0054889107585944785
2005-05-12,-0.0023942843216317616,0.0007960038802017,-0.011003554021471351
2005-05-13,-0.0032205623198138683,0.0034677531017006,-0.001983280416144928
2005-05-16,0.005797015236312717,0.0026611126336839,0.00933336970408738
2005-05-17,0.005253625434231313,0.0040251132214649,0.006677879017217947
2005-05-18,0.006907047202174226,0.0094210058426433,0.010290634396290965
2005-05-19,-0.0012479821679265938,-0.0085614237032238,0.0042092344424715655
2005-05-20,0.001190135305129518,0.0014984894124721,-0.0014251654421770787
2005-05-23,0.004515046781114397,0.0068653210362232,0.005540559095524866
2005-05-24,0.003323188548945021,0.0061207696533239,-0.002338049071082704
2005-05-25,-0.005139553887582885,-0.0029394857567593,-0.000752598797157944
2005-05-26,-0.0008592552276048448,-0.0027839189294791,0.005359649287851154
2005-05-27,0.0011609778214373796,0.0031012685140619,0.0016656105323478165
2005-05-31,0.004171904006762979,0.0077509954270514,-0.006403058431481479
2005-06-01,0.01295451332791802,0.019502963403892,0.008537113941950114
2005-06-02,9.224562998480817e-05,-0.0017582730636091,0.002157580370194978
2005-06-03,-0.011680375019651712,-0.0155938610017225,-0.005050895467198724
