,VOLT_RP,DONCHIAN_BO,VRP,BOND_DIP
2010-03-11,0.0,0.0,0.0,0.0
2010-03-12,0.0,0.0,0.0,0.0
2010-03-15,0.0,0.0,0.0,0.0
2010-03-16,0.0,0.0,0.0,0.0
2010-03-17,0.0,0.0,0.0,0.0
2010-03-18,0.0,0.0,0.0,0.0
2010-03-19,0.0,0.0,0.0,0.0
2010-03-22,0.0,0.0,0.0,0.0
2010-03-23,0.0,0.0,0.0,0.0
2010-03-24,0.0,0.0,0.0,0.0
2010-03-25,0.0,0.0,0.0,0.0
2010-03-26,0.0,0.0,0.0,0.0
2010-03-29,0.0,0.0,0.0,0.0
2010-03-30,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0
2010-04-02,0.0,0.0,0.0,0.0
2010-04-05,0.0,0.0,0.0,0.0
2010-04-06,0.0,0.0,0.0,0.0
2010-04-07,0.0,0.0,0.0,0.0
2010-04-08,0.0,0.0,0.0,0.0
2010-04-09,0.0,0.0,0.0,0.0
2010-04-12,0.0022039808388026796,0.0,-0.0024172062168321125,0.0
2010-04-13,0.07274521536634522,0.0,0.022169098231158646,0.0
2010-04-14,0.031151602467230782,0.0,0.012724070651457309,0.0
2010-04-15,0.008269525054061222,0.0,0.0029982367886558503,0.0
2010-04-16,-0.0683841628027127,0.0,-0.02391454950571481,0.0
2010-04-19,0.038491348748151875,0.0,0.01633362546100292,0.0
2010-04-20,0.03834126543592204,0.0,0.012340574719209574,0.0
2010-04-21,-0.0529297618389655,0.0,-0.02055247308634267,0.0
2010-04-22,0.06426549415503525,0.0,0.030390122098841177,0.0
2010-04-23,0.037103717722616336,0.0,0.009129291877873147,0.0
2010-04-26,-0.030249607376152544,0.0,-0.012526080636583559,0.0
2010-04-27,-0.046924295228457556,0.0,-0.024665504348298506,0.0
2010-04-28,-0.0042958731385818036,0.0,0.0001447209984637432,0.0
2010-04-29,0.053775476100225546,0.0,0.02326271598812557,0.0
2010-04-30,-0.05192028575079287,0.0,-0.0005,0.0
2010-05-03,0.0023172752999693637,0.0,-0.0064727492310880375,0.0
2010-05-04,-0.0948165474613318,0.0,-0.0005,0.0
2010-05-05,0.013809058032425907,0.0,-0.0032875339602612126,0.0
2010-05-06,-0.05627263456480357,0.0,-0.07020834183634217,0.0
