univ,bh,vxm,cf,lb,sk,k,rb,ma,hy,tc,full_sr,full_cagr,full_mdd,full_vol,full_navx,is_sr,is_cagr,is_mdd,oos_sr,oos_cagr,oos_mdd,gap,tim,turn_ann,uname
12,0.5,25,1,63,5,1,5,200,60,10,-0.04371821367604062,-0.12008842103935824,-0.9740599478068188,0.4614903680169568,0.12854056462560484,0.205926356490284,-9.427158362751431e-05,-0.5175613345631318,-0.2820277783024636,-0.2468366769414222,-0.9538431936039503,0.48795413479274763,0.5644642415243751,48.4543429844098,LEV_EQ
12,0.5,25,3,63,5,1,5,200,60,10,-0.14673440474670885,-0.16980755532363923,-0.987651824717255,0.47745447206951896,0.05057943277679504,0.15260198310273818,-0.022349081271168414,-0.6008365179790498,-0.42175561900778374,-0.31956183141070804,-0.9760842830507082,0.5743576021105219,0.5751051719871318,33.61247216035635,LEV_EQ
12,0.6,25,1,63,5,1,5,200,60,10,-0.017020962842672405,-0.10662161549282712,-0.9700137148126018,0.45552692173697357,0.16399035736535453,0.2331037334454446,0.011188639495803177,-0.5099605760859649,-0.25989818409086,-0.23160904036299057,-0.9525860810663811,0.4930019175363046,0.5498638950754764,50.20044543429844,LEV_EQ
12,0.6,25,3,63,5,1,5,200,60,10,-0.12417967982482105,-0.15641863133009726,-0.9824004097655256,0.4688254881251735,0.06537223713573327,0.16817240669201255,-0.015880698590656772,-0.5963488149480471,-0.39929417972239567,-0.30063145252985024,-0.968065400115805,0.5674665864144082,0.5555555555555556,32.614699331848556,LEV_EQ
12,0.7,25,1,63,5,1,5,200,60,10,-0.18910867984343216,-0.16393920883331292,-0.9779996898317763,0.43645001924855503,0.05662764342039047,0.07270744605186523,-0.047708085316436555,-0.5699424168429648,-0.44722622859836403,-0.28639736077581757,-0.9631054194608369,0.5199336746502292,0.5023509032417718,52.44543429844098,LEV_EQ
12,0.7,25,3,63,5,1,5,200,60,10,-0.21362440038977504,-0.18299317716468255,-0.9854731295592596,0.4541682422757498,0.039126962717770525,0.12991191229593257,-0.027233882537340603,-0.5814314987662943,-0.5357179283629535,-0.33927210516645756,-0.9710958874501605,0.6656298406588861,0.5120019797079931,31.741648106904233,LEV_EQ
12,0.5,25,1,63,5,1,10,200,60,10,-0.12515315011836567,-0.1536110766377501,-0.9801785498876692,0.46349590552726233,0.06894975884699572,0.09426710879422602,-0.046269114764316055,-0.6324544931786791,-0.3388597138305302,-0.2680554497212917,-0.9519351489095444,0.4331268226247562,0.5644642415243751,42.71714922048997,LEV_EQ
12,0.5,25,3,63,5,1,10,200,60,10,-0.2339591545713899,-0.20593127857444216,-0.9912152093476417,0.48142765256746256,0.024782946157377757,0.04390377887735944,-0.06716293284615937,-0.6913438456825425,-0.49365419966432067,-0.34723868561347093,-0.9782029803207514,0.5375579785416801,0.5751051719871318,27.750556792873052,LEV_EQ
12,0.6,25,1,63,5,1,10,200,60,10,-0.09993361287528234,-0.1411060692366759,-0.9765211221765465,0.4582621878588969,0.08723147975499095,0.10616809899267124,-0.04149241345205479,-0.6366774267003213,-0.30405794200146335,-0.24845047223395733,-0.944487159413277,0.4102260409941346,0.5498638950754764,44.83741648106904,LEV_EQ
12,0.6,25,3,63,5,1,10,200,60,10,-0.17953827226978689,-0.18039647472914322,-0.9845247507163619,0.47345077256993584,0.041169491749291576,0.059009995047572934,-0.06099104980148151,-0.6878736956771985,-0.40703472042210465,-0.3053920511246523,-0.9637670278494058,0.4660447154696776,0.5555555555555556,26.752783964365257,LEV_EQ
12,0.7,25,1,63,5,1,10,200,60,10,-0.27231419383847827,-0.19551777854759866,-0.9880349318290254,0.4393982752510402,0.030541390230495933,-0.08592141654639324,-0.10752268941665855,-0.7823947221907811,-0.45986016152514214,-0.2909647715633529,-0.955400110636645,0.3739387449787489,0.5023509032417718,48.080178173719375,LEV_EQ
12,0.7,25,3,63,5,1,10,200,60,10,-0.27766694279063203,-0.20929244690478443,-0.9887687731944244,0.45926456526121495,0.023153247150282837,0.034233036625276166,-0.06542691631478093,-0.684183417584469,-0.5733956674894147,-0.3548088384329864,-0.9714000910869738,0.6076287041146909,0.5120019797079931,26.877505567928733,LEV_EQ
12,0.5,25,1,63,5,1,21,200,60,10,0.060531876094015384,-0.07732638261037794,-0.9524874171716027,0.46357797140166657,0.2751194923872978,0.25018129607545286,0.018598541876930108,-0.5592171514394608,-0.11568200854443601,-0.18193868245176092,-0.9196512676749636,0.36586330461988886,0.5644642415243751,37.85300668151448,LEV_EQ
12,0.5,25,3,63,5,1,21,200,60,10,-0.10999685417354291,-0.15775894902062015,-0.9870877807833057,0.4832126230262014,0.06372641647814543,0.20214798079237845,-0.0031284871304557704,-0.572776758275215,-0.3961723785510552,-0.3139238011498088,-0.9783802045146222,0.5983203593434336,0.5751051719871318,22.886414253897552,LEV_EQ
12,0.6,25,1,63,5,1,21,200,60,10,0.08504812070382813,-0.06468902419278189,-0.9423340158038183,0.45773508928473805,0.3421836133655448,0.25904509625143723,0.022294047261772976,-0.5429800572260868,-0.07978122782777979,-0.1606013759447964,-0.9176457824039455,0.33882632407921703,0.5498638950754764,40.097995545657014,LEV_EQ
12,0.6,25,3,63,5,1,21,200,60,10,-0.04391372515595573,-0.12633488748118138,-0.9744575089562142,0.4746679761653854,0.11466346909746081,0.21082982083031593,0.0008129249682318207,-0.5821722884199878,-0.2817958647033728,-0.2594549302735958,-0.9560282038656318,0.49262568553368874,0.5555555555555556,21.888641425389753,LEV_EQ
12,0.7,25,1,63,5,1,21,200,60,10,-0.047306315726611634,-0.11197341151052731,-0.9601039620438043,0.44010216875941954,0.14892704691918568,0.09962566377740154,-0.03801764345373948,-0.6339868495795538,-0.19038554903360447,-0.19432986086716963,-0.9234560671892816,0.290011212811006,0.5023509032417718,42.71714922048997,LEV_EQ
12,0.7,25,3,63,5,1,21,200,60,10,-0.13644440854314016,-0.15739416261100359,-0.9799306773456938,0.46189055913129945,0.06417045915961737,0.15253367773272813,-0.019208942393262762,-0.5821722884199878,-0.40358604714569224,-0.29954180742830727,-0.9654252882141575,0.5561197248784204,0.5120019797079931,21.888641425389753,LEV_EQ
12,0.5,25,1,63,5,2,5,200,60,10,0.12334648176640098,-0.02593087391942661,-0.9110505339789018,0.38058375476912293,0.6561889972135329,0.2755460089122611,0.03668247208413877,-0.49110616953072983,-0.01354360697573243,-0.09703394349336891,-0.8917316686020755,0.28908961588799353,0.5644642415243751,43.52783964365256,LEV_EQ
12,0.5,25,3,63,5,2,5,200,60,10,0.10149001181987514,-0.03828414139987457,-0.9172858759294118,0.39505363935073073,0.5347403660714388,0.3281774408864856,0.0546242851860117,-0.5225494401826936,-0.09696340964979454,-0.14035784006617857,-0.9060214546796084,0.42514085053628015,0.5751051719871318,29.30957683741648,LEV_EQ
12,0.6,25,1,63,5,2,5,200,60,10,0.12163523342472625,-0.025147751403345908,-0.9126317185168844,0.374962799202458,0.6647000651813759,0.2727500854553915,0.03574777377958993,-0.5159234359381297,-0.017971313913234116,-0.0944306447044545,-0.8959861408410592,0.2907213993686256,0.5498638950754764,45.39866369710467,LEV_EQ
12,0.6,25,3,63,5,2,5,200,60,10,0.10451203767149336,-0.034949989407956794,-0.8992882429066879,0.3873019002374527,0.5652561877324868,0.31903825574512834,0.05141953500163199,-0.5262363178776897,-0.08919941384795388,-0.13052404532677886,-0.8863530498793024,0.4082376695930822,0.5555555555555556,27.93763919821826,LEV_EQ
12,0.7,25,1,63,5,2,5,200,60,10,-0.10164445548974498,-0.09589874137722121,-0.9439571114208309,0.35696231660917793,0.19856811150804052,0.09100313570953851,-0.021157377162238533,-0.5270890239009143,-0.28602571237709473,-0.17918200197443468,-0.9124749797453909,0.37702884808663323,0.5023509032417718,47.83073496659242,LEV_EQ
12,0.7,25,3,63,5,2,5,200,60,10,-0.030385442141965834,-0.07840404227592968,-0.9231744518620643,0.37218794438713965,0.2700116921657872,0.2516774666359522,0.02900035133040757,-0.5508988849851681,-0.2894109800237735,-0.19407940666392465,-0.8938175905109887,0.5410884466597257,0.5120019797079931,27.002227171492205,LEV_EQ
12,0.5,25,1,63,5,2,10,200,60,10,0.0004000641412083243,-0.0698495036411837,-0.942750602123152,0.37857695561219895,0.31313272347492366,0.1753557190966807,0.002745481996001997,-0.5265398874798244,-0.1627694977696727,-0.15112454648365015,-0.901957538003353,0.33812521686635344,0.5644642415243751,38.85077951002227,LEV_EQ
12,0.5,25,3,63,5,2,10,200,60,10,-0.015536466324516605,-0.08173415799598527,-0.9459684091144267,0.39487540091197754,0.2547840970628272,0.24258582830648387,0.024650270108714123,-0.5544242228337889,-0.24608961095790932,-0.19638901387673957,-0.9215337842045407,0.48867543926439316,0.5751051719871318,24.44543429844098,LEV_EQ
12,0.6,25,1,63,5,2,10,200,60,10,-0.00012910964826509192,-0.06817475579417842,-0.9412425056037844,0.373317413664724,0.32229706558537724,0.17230223620863802,0.0017360811061453152,-0.5372789530472951,-0.16492594718946113,-0.14668786218089935,-0.9042063136763683,0.3372281833980991,0.5498638950754764,40.97104677060133,LEV_EQ
12,0.6,25,3,63,5,2,10,200,60,10,0.011581620406109982,-0.06914423528336122,-0.9228549436227345,0.38740925068619914,0.3169618107195182,0.23329975100708836,0.021536603764992224,-0.5578649631585944,-0.19162643246696862,-0.16868940379133712,-0.8927960312613723,0.424926183474057,0.5555555555555556,23.385300668151444,LEV_EQ
12,0.7,25,1,63,5,2,10,200,60,10,-0.21472690830235647,-0.13118216564832275,-0.9658316105951962,0.3557899144404984,0.10487658025300738,-0.004287349405529538,-0.050636582393440266,-0.5971291554362208,-0.4203287411133176,-0.2200224062485967,-0.9279836487988233,0.41604139170778803,0.5023509032417718,43.90200445434298,LEV_EQ
12,0.7,25,3,63,5,2,10,200,60,10,-0.10648234220651381,-0.10444877859494184,-0.941677763415422,0.37283298606057025,0.1705044949294354,0.18320313462204182,0.00636792066293923,-0.5922423764484803,-0.37443131582273625,-0.22295547779532465,-0.910000188686946,0.5576344504447781,0.5120019797079931,23.011135857461024,LEV_EQ
12,0.5,25,1,63,5,2,21,200,60,10,0.07632191852625056,-0.041176486390925415,-0.9328796662240585,0.3735842752803684,0.5095263211494768,0.2523214421734738,0.02899350785904753,-0.5179440353717367,-0.08596544286532176,-0.12013019875016717,-0.9005128506611898,0.33828688503879556,0.5644642415243751,35.670378619153674,LEV_EQ
12,0.5,25,3,63,5,2,21,200,60,10,0.05453560655504729,-0.05662581811181833,-0.9302927385918743,0.3968580899136659,0.3926807742259036,0.31612730315450305,0.05026172821613817,-0.46840841744281003,-0.17880894923287757,-0.17211425769361954,-0.9166008086138753,0.4949362523873806,0.5751051719871318,20.890868596881962,LEV_EQ
12,0.6,25,1,63,5,2,21,200,60,10,0.07719459061607474,-0.03961635914858386,-0.9310235853473224,0.3691773548817147,0.5229848230966164,0.2503537185891369,0.028332001279563146,-0.5254471716838458,-0.08606502350984961,-0.11626235461634582,-0.9007887172752792,0.33641874209898653,0.5498638950754764,37.915367483296215,LEV_EQ
12,0.6,25,3,63,5,2,21,200,60,10,0.08715810095983059,-0.04209959394781437,-0.8991797863822211,0.3894457614136784,0.5017167352653484,0.29675599924074997,0.0434698657469772,-0.4603656317959629,-0.10364682657758603,-0.13680438281305185,-0.8814882102730166,0.400402825818336,0.5555555555555556,19.830734966592427,LEV_EQ
12,0.7,25,1,63,5,2,21,200,60,10,-0.0831224491977081,-0.0879671825014926,-0.9470782643883877,0.35218511330440466,0.22842269661466197,0.14229867360388318,-0.0052040880158769065,-0.484720992010124,-0.3028357695855413,-0.17943466899223304,-0.9167956433850161,0.4451344431894245,0.5023509032417718,41.15812917594655,LEV_EQ
12,0.7,25,3,63,5,2,21,200,60,10,-0.0076063300989846795,-0.07226806386924911,-0.9076478857395138,0.3769300215572142,0.30032855697009736,0.25626887142515264,0.030107581260379268,-0.5701713270637142,-0.25157500471024824,-0.18320638978385462,-0.8863496536897766,0.5078438761354009,0.5120019797079931,19.893095768374163,LEV_EQ
12,0.5,25,1,63,5,3,5,200,60,10,0.09375643253489714,-0.028109829609052617,-0.8967466621917533,0.3477435590387527,0.6330423901941068,0.21241360734208498,0.017632669044879146,-0.49511150206847776,-0.019027030186656278,-0.08100004848303177,-0.8624372212246415,0.23144063752874125,0.5644642415243751,42.17668893838158,LEV_EQ
12,0.5,25,3,63,5,3,5,200,60,10,0.1214996637158135,-0.021667636156354364,-0.8703605865945216,0.3598954083089643,0.7037897820024265,0.2880564028392644,0.04143841159295358,-0.4777715288250468,-0.03205572947122276,-0.0933135741811898,-0.8594643853991933,0.3201121323104872,0.5751051719871318,27.688195991091312,LEV_EQ
12,0.6,25,1,63,5,3,5,200,60,10,0.08624591211048316,-0.02913652252902077,-0.8984018617011549,0.34177641913001877,0.6224034402263987,0.20036535726303042,0.013900989932289276,-0.5135172852258234,-0.025680970759349275,-0.07904337718620091,-0.8674438076464126,0.2260463280223797,0.5498638950754764,43.94357832219748,LEV_EQ
12,0.6,25,3,63,5,3,5,200,60,10,0.1142795558562773,-0.022349456927104105,-0.8540382512728177,0.3521554079617888,0.6959655609818343,0.2717560439846464,0.036151791886245066,-0.4731687934238631,-0.03637774812249893,-0.08909084068403883,-0.8414467013476805,0.30813379210714537,0.5555555555555556,26.524127691165553,LEV_EQ
12,0.7,25,1,63,5,3,5,200,60,10,-0.16200172817489858,-0.09947931876234095,-0.947580380769088,0.3222433875780958,0.18632616022301737,0.01791715481667275,-0.03782212798456541,-0.591342618943389,-0.3457777563750698,-0.1691931690583881,-0.890805081070767,0.3636949111917426,0.5023509032417718,46.66666666666667,LEV_EQ
12,0.7,25,3,63,5,3,5,200,60,10,-0.010363929053392354,-0.05879328847490606,-0.8886037133504063,0.3354529539562762,0.3784603834040489,0.23158149392901603,0.024174880760522433,-0.5099714003678664,-0.24658243139603694,-0.15072904926093367,-0.8491934004753781,0.478163925325053,0.5120019797079931,25.817371937639198,LEV_EQ
12,0.5,25,1,63,5,3,10,200,60,10,0.10516730829252086,-0.02421470837885964,-0.877755210035892,0.34754249758799394,0.6749756036157846,0.18727748927129131,0.00953016662052808,-0.5241669737954051,0.026926480617623184,-0.06375392825301207,-0.8259301203836176,0.16035100865366814,0.5644642415243751,37.9569413511507,LEV_EQ
12,0.5,25,3,63,5,3,10,200,60,10,0.12349110779137885,-0.021242128280431816,-0.8533766316969504,0.36109585318695087,0.7087144057364362,0.2741433490426947,0.03674164836711946,-0.5020321997167222,-0.01561530640741687,-0.08743434809447725,-0.8416481301451869,0.2897586554501116,0.5751051719871318,22.948775055679288,LEV_EQ
12,0.6,25,1,63,5,3,10,200,60,10,0.1022491230725633,-0.023873482533367296,-0.8790872010214168,0.3419886788768479,0.6787705543343507,0.19224080300216345,0.011120424793367611,-0.5280993842500021,0.013638705135603908,-0.06482067219677268,-0.836183006882874,0.17860209786655953,0.5498638950754764,39.97327394209354,LEV_EQ
