Date,Close,SPY,AGG,source,tier,Overlay
2005-01-03,0.0,0.0,0.0,proxy,4,5.5
2005-01-04,0.0,-0.01221950275650574,-0.0009771146194843539,proxy,4,5.5
2005-01-05,0.0,-0.006900399657162826,-0.00039074436471642215,proxy,4,5.5
2005-01-06,0.0,0.005084635781879676,0.000684564880413685,proxy,4,5.5
2005-01-07,0.0,-0.0014335456918086464,-0.0002934668777381244,proxy,4,5.5
2005-01-10,0.0,0.004727960860017699,-0.000489108449775455,proxy,4,5.5
2005-01-11,0.0,-0.006890825651904242,0.0013691911674227342,proxy,4,5.5
2005-01-12,0.0,0.003299887538534829,0.001465669936900893,proxy,4,5.5
2005-01-13,0.0,-0.00801190824374809,0.002438062528212548,proxy,4,5.5
2005-01-14,0.0,0.005271111051451172,-0.003600674148910299,proxy,4,5.5
2005-01-18,0.0,0.010402438274151438,0.0026372732075357064,proxy,4,5.5
2005-01-19,0.0,-0.010462802339050614,0.0014609490751031906,proxy,4,5.5
2005-01-20,0.0,-0.006090230075464387,0.001361189015265385,proxy,4,5.5
2005-01-21,0.0,-0.006127932173697892,0.00048500482456392824,proxy,4,5.5
2005-01-24,0.0,-0.0019697724858216414,0.000195261541663605,proxy,4,5.5
2005-01-25,0.0,0.002831554487902066,-0.0017474788310286593,proxy,4,5.5
2005-01-26,0.0,0.002995309956156378,-0.0004850132791883732,proxy,4,5.5
2005-01-27,0.0,0.0017061231494792661,-0.0013624008007842026,proxy,4,5.5
2005-01-28,0.0,0.0,0.003408019760073877,proxy,4,5.5
2005-01-31,0.0,0.006215998679298451,-0.001261667568499103,proxy,4,5.5
2005-02-01,0.0,0.006347202332798618,0.001062069374590191,proxy,4,5.5
2005-02-02,0.0,0.0030275399724997154,0.0007802568449175595,proxy,4,5.5
2005-02-03,0.0,-0.002599142419161593,-0.0012658105395183528,proxy,4,5.5
2005-02-04,0.0,0.010676119809925888,0.004189103567813213,proxy,4,5.5
2005-02-07,0.0,-0.001331029217639057,0.0001942181165179857,proxy,4,5.5
2005-02-08,0.0,0.001166273259599837,0.0005821786620681113,proxy,4,5.5
2005-02-09,0.0,-0.007487463822162144,0.0027139002710858673,proxy,4,5.5
2005-02-10,0.0,0.0036044781621538124,-0.005123519362672524,proxy,4,5.5
2005-02-11,0.0,0.008601575911707071,0.0013600287958239754,proxy,4,5.5
2005-02-14,0.0,-0.0007451815329448941,0.00019456485048863215,proxy,4,5.5
2005-02-15,0.0,0.003729060015961405,-0.0019408456586352818,proxy,4,5.5
2005-02-16,0.0,0.0006605699950952282,-0.0011665975075088042,proxy,4,5.5
2005-02-17,0.0,-0.008084989149891753,-0.00048695923460728707,proxy,4,5.5
2005-02-18,0.0,0.0013308416166217807,0.0002926236138229843,proxy,4,5.5
2005-02-22,0.0,-0.0148685105007339,-0.0028227734873821353,proxy,4,5.5
2005-02-23,0.0,0.007166814309247593,0.0004876299476890278,proxy,4,5.5
2005-02-24,0.0,0.006613822428139127,-0.000975659854164479,proxy,4,5.5
2005-02-25,0.0,0.009896725780775162,0.0008792142706945949,proxy,4,5.5
2005-02-28,0.0,-0.006587986655182565,-0.0026344504179272032,proxy,4,5.5
2005-03-01,0.0,0.004974201111384247,-0.000716195317697621,proxy,4,5.5
2005-03-02,0.0,-0.0004954604344702407,-0.001275978491714791,proxy,4,5.5
2005-03-03,0.0,0.0004127781214751103,0.0007860741605196786,proxy,4,5.5
2005-03-04,0.0,0.012456848294110978,0.00284876355006225,proxy,4,5.5
2005-03-07,0.0,0.000488761831845208,0.00029412943783668766,proxy,4,5.5
2005-03-08,0.0,-0.00374617006737743,-0.002154952313285108,proxy,4,5.5
2005-03-09,0.0,-0.011117224350178478,-0.006084061206691693,proxy,4,5.5
2005-03-10,0.0,0.0022315672655734975,-0.0011858535204819498,proxy,4,5.5
2005-03-11,0.0,-0.007010664362025132,0.0007920480381409245,proxy,4,5.5
2005-03-14,0.0,0.0062294434221807915,-0.0003957105972680619,proxy,4,5.5
2005-03-15,0.0,-0.008255000111249577,0.00019837560361657403,proxy,4,5.5
2005-03-16,0.0,-0.008489769818451065,0.0006903839909275789,proxy,4,5.5
2005-03-17,0.0,0.00201420156481924,-0.00019746344479132372,proxy,4,5.5
2005-03-18,0.0,-0.0029684121154147647,-0.0006907800735564962,proxy,4,5.5
