date,pick_1,pick_2,pick_3,n_positive
2015-03-12,TMF,DRN,UBT,11
2015-03-26,DRN,YINN,TMF,12
2015-04-10,YINN,SOXL,TQQQ,13
2015-04-24,YINN,SOXL,TQQQ,13
2015-05-08,YINN,SOXL,TQQQ,14
2015-05-22,YINN,TYD,TQQQ,10
2015-06-08,YINN,SOXL,TQQQ,10
2015-06-22,YINN,TQQQ,QLD,10
2015-07-07,TQQQ,QLD,FAS,8
2015-07-21,TQQQ,TECL,QLD,7
2015-08-04,BTC_USD,TQQQ,QLD,7
2015-08-18,FAS,BTC_USD,TQQQ,4
2015-09-01,TYD,,,1
2015-09-16,,,,0
2015-09-30,TYD,,,1
2015-10-14,BTC_USD,,,1
2015-10-28,BTC_USD,TQQQ,QLD,8
2015-11-11,BTC_USD,QLD,TQQQ,3
2015-11-25,BTC_USD,TMF,TQQQ,8
2015-12-10,BTC_USD,TMF,UBT,7
2015-12-24,BTC_USD,DRN,TMF,8
2016-01-11,BTC_USD,TMF,UBT,4
2016-01-26,BTC_USD,TMF,TYD,5
2016-02-09,BTC_USD,TMF,UBT,6
2016-02-24,BTC_USD,NUGT,TMF,7
2016-03-09,NUGT,BTC_USD,TMF,9
2016-03-23,NUGT,BTC_USD,SOXL,16
2016-04-07,BTC_USD,NUGT,TMF,13
2016-04-21,NUGT,BTC_USD,TMF,10
2016-05-05,NUGT,UGL,BTC_USD,7
2016-05-19,NUGT,BTC_USD,UGL,7
2016-06-03,NUGT,BTC_USD,TMF,12
2016-06-17,NUGT,BTC_USD,TMF,11
2016-07-01,NUGT,ERX,DRN,18
2016-07-18,NUGT,ERX,EDC,18
2016-08-01,NUGT,SOXL,DRN,19
2016-08-15,NUGT,SOXL,EDC,19
2016-08-29,NUGT,SOXL,ERX,19
2016-09-13,NUGT,SOXL,LABU,18
2016-09-27,NUGT,SOXL,BTC_USD,19
2016-10-11,SOXL,BTC_USD,LABU,17
2016-10-25,SOXL,YINN,TECL,16
2016-11-08,SOXL,YINN,BTC_USD,16
2016-11-22,SOXL,BTC_USD,TECL,12
2016-12-07,SOXL,FAS,ERX,11
2016-12-21,SOXL,FAS,TECL,11
2017-01-06,SOXL,FAS,BTC_USD,13
2017-01-23,SOXL,FAS,BTC_USD,11
2017-02-06,SOXL,BTC_USD,FAS,10
2017-02-21,BTC_USD,SOXL,FAS,13
2017-03-07,BTC_USD,SOXL,FAS,12
2017-03-21,SOXL,BTC_USD,FAS,11
2017-04-04,BTC_USD,SOXL,FAS,10
2017-04-19,BTC_USD,SOXL,FAS,12
2017-05-03,BTC_USD,SOXL,LABU,12
2017-05-17,BTC_USD,SOXL,EDC,17
2017-06-01,BTC_USD,SOXL,TQQQ,17
2017-06-15,BTC_USD,EDC,SOXL,17
2017-06-29,BTC_USD,LABU,SOXL,16
2017-07-14,BTC_USD,LABU,EDC,14
2017-07-28,BTC_USD,LABU,EDC,16
2017-08-11,BTC_USD,EDC,TECL,15
2017-08-25,BTC_USD,EDC,YINN,16
2017-09-11,BTC_USD,LABU,EDC,17
2017-09-25,BTC_USD,LABU,YINN,16
2017-10-09,BTC_USD,LABU,YINN,11
2017-10-23,BTC_USD,SOXL,YINN,19
2017-11-06,BTC_USD,SOXL,LABU,18
2017-11-20,BTC_USD,SOXL,LABU,17
2017-12-05,BTC_USD,UCO,YINN,17
2017-12-19,BTC_USD,SOXL,TECL,16
2018-01-04,BTC_USD,UCO,SOXL,18
2018-01-19,BTC_USD,SOXL,YINN,17
2018-02-02,BTC_USD,SOXL,YINN,14
2018-02-16,BTC_USD,SOXL,UCO,14
