Date,RPAR_3,XSMOM_T2_126,SEASON_TQQQ,TREND_TQQQ_QQQ,CURVE_TMF,TREND_DRN_VNQ,TREND_UGL_GLD,TREND_UPRO_slow,TSMOM_L4,RPAR_6
1999-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-11,0.0,0.0,0.013476881445633105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-12,0.0,0.0,-0.07349269942747261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-15,0.0,0.0,0.0857285542416113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-16,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-31,0.0,0.0,-0.045226925212993964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-01,0.0,0.0,0.062126410848317715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-05,0.0,0.0,0.10810666125475943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-06,0.0,0.0,0.005499868650343798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-07,0.0,0.0,-0.03160010183387707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-08,0.0,0.0,-0.00012519318016773425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
