start,end,sharpe,sortino,cagr,vol,mdd,calmar,hit,nav,n
1999-01-01,2001-12-31,0.2867,0.2742,0.0328,0.1543,-0.1891,0.1736,0.3098,1.095,707
2002-01-01,2004-12-31,0.7751,0.9896,0.143,0.1976,-0.2883,0.4961,0.4048,1.493,756
2005-01-01,2007-12-31,0.949,1.3652,0.2014,0.2187,-0.2143,0.9401,0.5451,1.732,754
2008-01-01,2010-12-31,0.8735,1.3071,0.2017,0.2447,-0.2211,0.9121,0.5495,1.737,757
2011-01-01,2013-12-31,0.9763,1.3205,0.203,0.2126,-0.1607,1.2629,0.5663,1.738,754
2014-01-01,2016-12-31,0.5221,0.7239,0.0891,0.203,-0.3388,0.2629,0.545,1.292,756
2017-01-01,2019-12-31,1.2495,1.5502,0.2426,0.1882,-0.2565,0.9459,0.569,1.915,754
2020-01-01,2022-12-31,0.2806,0.3531,0.0379,0.2173,-0.389,0.0975,0.5688,1.118,756
2023-01-01,2025-12-31,1.1045,1.5871,0.2649,0.2387,-0.2151,1.2314,0.5492,2.016,752
