Date,SL_DUALBEAR,SL_REGIME,SL_CALENDAR,SL_VRP,SL_DISPERSION,SL_CPPI
1999-03-10,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-11,0.0,0.0035630644336899315,0.0,0.0,0.0,-0.0003
1999-03-12,0.0,-0.022047809828241782,0.0,0.0,0.0,0.0
1999-03-15,0.0,0.02571856627248339,0.0,0.0,0.0,0.0
1999-03-16,0.0,0.007522431472094104,0.0,0.0,0.0,0.0
1999-03-17,0.0,-0.00662188943373494,0.0,0.0,0.0,0.0
1999-03-18,0.0,0.017331017558071028,0.0,0.0,0.0,0.0
1999-03-19,0.0,-0.023131939046252513,0.0,0.0,0.0,0.0
1999-03-22,0.0,-0.011105478029443805,0.0,0.0,0.0,0.0
1999-03-23,0.0,-0.03181020676531449,0.0,0.0,0.0,0.0
1999-03-24,0.0,0.03041429060285765,0.0,0.0,0.0,0.0
1999-03-25,0.0,0.032755873536564103,0.0,0.0,0.0,0.0
1999-03-26,0.0,-0.00980097823499666,0.0,0.0,0.0,0.0
1999-03-29,0.0,0.03248510769658317,0.0,0.0,0.0,0.0
1999-03-30,0.0,-0.006417320181558572,0.0,0.0,0.0,0.0
1999-03-31,0.0,-0.013328077563898187,0.0,0.0,0.0,0.0
1999-04-01,0.0,0.018637923254495314,0.0,0.0,0.0,0.0
1999-04-05,0.0,0.03243199837642783,0.0,0.0,0.0,0.0
1999-04-06,0.0,0.0016499605951031393,0.0,0.0,0.0,0.0
1999-04-07,0.0,-0.00948003055016312,0.0,0.0,0.0,0.0
1999-04-08,0.0,0.007031057716384237,0.0,0.0,0.0,0.0
1999-04-09,0.0,0.002149557459667854,0.0,0.0,0.0,0.0
1999-04-12,0.0,-0.0029485000869632913,0.0,0.0,0.0,0.0
1999-04-13,0.0,-0.006011673305197784,0.0,0.0,0.0,0.0
1999-04-14,0.0,-0.015392789274034487,0.0,0.0,0.0,0.0
1999-04-15,0.0,0.006066502298357966,0.0,0.0,0.0,0.0
1999-04-16,0.0,-0.012697869633126786,0.0,0.0,0.0,0.0
1999-04-19,0.0,-0.02064374720799309,0.0,0.0,0.0,0.0
1999-04-20,0.0,0.009709388806595859,0.0,0.0,0.0,0.0
1999-04-21,0.0,0.01988695274226027,0.0,0.0,0.0,0.0
1999-04-22,0.0,0.01088718704273154,0.0,0.0,0.0,0.0
1999-04-23,0.0,0.004976041608246029,0.0,0.0,0.0,0.0
1999-04-26,0.0,0.008766905864005624,0.0,0.0,0.0,0.0
1999-04-27,0.0,-0.0060070782910417965,0.0,0.0,0.0,0.0
1999-04-28,0.0,-0.013406083255207594,0.0,0.0,0.0,0.0
1999-04-29,0.0,-0.0032490281840976977,0.0,0.0,0.0,0.0
1999-04-30,0.0,0.0024236502238454945,0.0,0.0,0.0,0.0
1999-05-03,0.0,-0.002100043370119803,0.0,0.0,0.0,0.0
1999-05-04,0.0,-0.006302668091355644,-0.00016,0.0,0.0,0.0
1999-05-05,0.0,0.012076432569893495,0.0,0.0,0.0,0.0
1999-05-06,0.0,-0.01469986724276157,0.0,0.0,0.0,0.0
1999-05-07,0.0,0.0056928796220115565,0.0,0.0,0.0,0.0
1999-05-10,0.0,0.0038803072086813556,0.0,0.0,0.0,0.0
1999-05-11,0.0,0.006191571841683994,0.0,0.0,0.0,0.0
1999-05-12,0.0,0.008229422170059045,0.0,0.0,0.0,0.0
1999-05-13,0.0,-0.0075563338404741115,0.0,0.0,0.0,0.0
1999-05-14,0.0,-0.007728646916130557,0.0,0.0,0.0,0.0
1999-05-17,0.0,0.007249001668817949,0.0,0.0,0.0,0.0
1999-05-18,0.0,-0.001870111266238845,0.0,0.0,0.0,0.0
1999-05-19,0.0,0.005612342415086594,0.0,0.0,0.0,0.0
1999-05-20,0.0,-0.011414491699201067,0.0,0.0,0.0,0.0
1999-05-21,0.0,-0.003898433382780775,0.0,0.0,0.0,0.0
1999-05-24,0.0,-0.010572597832220794,0.0,0.0,0.0,0.0
1999-05-25,0.0,-0.013714896678706701,0.0,0.0,0.0,0.0
1999-05-26,0.0,0.011539422338173812,0.0,0.0,0.0,0.0
1999-05-27,0.0,-0.00043620364479981616,0.0,0.0,0.0,0.0
1999-05-28,0.0,0.006695700923771246,0.0,0.0,0.0,0.0
1999-06-01,0.0,-0.009248269578759074,0.0,0.0,0.0,0.0
1999-06-02,0.0,0.0069573077893192925,0.0,0.0,0.0,0.0
1999-06-03,0.0,-0.005953768651136835,0.0,0.0,0.0,0.0
1999-06-04,0.0,0.012719581121986085,0.0,0.0,0.0,0.0
1999-06-07,0.0,0.008663392019095311,0.0,0.0,0.0,0.0
1999-06-08,0.0,-0.010404219113843108,0.0,0.0,0.0,0.0
1999-06-09,0.0,0.006806137830290289,0.0,0.0,0.0,0.0
1999-06-10,0.0,-0.004756339327621086,0.0,0.0,0.0,0.0
1999-06-11,0.0,-0.006328990872310775,0.0,0.0,0.0,0.0
1999-06-14,0.0,-0.007847794457868736,0.0,0.0,0.0,0.0
1999-06-15,0.0,0.0060854195067260395,0.0,0.0,0.0,0.0
1999-06-16,0.0,0.021104497758227373,0.0,0.0,0.0,0.0
1999-06-17,0.0,0.004544500109245734,0.0,0.0,0.0,0.0
1999-06-18,0.0,0.0017555014032608878,0.0,0.0,0.0,0.0
1999-06-21,0.0,0.012142789642998164,0.0,0.0,0.0,0.0
1999-06-22,0.0,-0.012564312553542676,0.0,0.0,0.0,0.0
1999-06-23,0.0,0.006518622743329131,0.0,0.0,0.0,0.0
1999-06-24,0.0,-0.008232268262284929,0.0,0.0,0.0,0.0
1999-06-25,0.0,-0.0006003901365109726,0.0,0.0,0.0,0.0
1999-06-28,0.0,0.009802840090703153,0.0,0.0,0.0,0.0
1999-06-29,0.0,0.005650383356297748,0.0,0.0,0.0,0.0
1999-06-30,0.0,0.0063660345182120865,0.0,0.0,0.0,0.0
1999-07-01,0.0,0.002809077962727433,0.0,0.0,0.0,0.0
1999-07-02,0.0,0.005289394279461012,0.0,0.0,0.0,0.0
1999-07-06,0.0,-0.002764447344108061,0.0,0.0,0.0,0.0
1999-07-07,0.0,0.0006177738570299306,0.0,0.0,0.0,0.0
1999-07-08,0.0,0.005585829359969176,0.0,0.0,0.0,0.0
1999-07-09,0.0,0.00417829526058533,0.0,0.0,0.0,0.0
1999-07-12,0.0,-0.002273412149100665,0.0,0.0,0.0,0.0
1999-07-13,0.0,-0.0021151449982079857,0.0,0.0,0.0,0.0
1999-07-14,0.0,0.007310802029947832,0.0,0.0,0.0,0.0
1999-07-15,0.0,0.003989561436460567,0.0,0.0,0.0,0.0
1999-07-16,0.0,0.004180154211028035,0.0,0.0,0.0,0.0
1999-07-19,0.0,-0.004794465179596439,0.0,0.0,0.0,0.0
1999-07-20,0.0,-0.018816732471662122,0.0,0.0,0.0,0.0
1999-07-21,0.0,0.0022872737617664492,0.0,0.0,0.0,0.0
1999-07-22,0.0,-0.012153078886552995,0.0,0.0,0.0,0.0
1999-07-23,0.0,0.0006476936475793713,0.0,0.0,0.0,0.0
1999-07-26,0.0,-0.011739830950160589,0.0,0.0,0.0,0.0
1999-07-27,0.0,0.009752258125640574,0.0,0.0,0.0,0.0
1999-07-28,0.0,0.0093758778302319,0.0,0.0,0.0,0.0
1999-07-29,0.0,-0.010302208842838077,0.0,0.0,0.0,0.0
1999-07-30,0.0,-0.0024231150388029743,0.0,0.0,0.0,0.0
1999-08-02,0.0,-0.0013769417455390743,0.0,0.0,0.0,0.0
