Date,UPRO,SSO,TQQQ,QLD,TECL,FAS,ERX,SOXL,DRN,EDC,YINN,TMF,UBT,TYD,UGL,UCO,SPY,QQQ,TLT,GLD,BIL,SHY
2020-12-31,0.0,0.0,0.3568396391428892,0.08162576878106262,0.05482777695892224,0.0,0.036602718534827154,0.040205437014090066,0.0,0.0,0.0,0.0137670661075809,0.0,0.0,0.04084503052630875,0.014622339944832178,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.36288770294989336,0.037185487365215805,0.0747989851138039,0.0,0.03845447298210252,0.022086143477694838,0.0,0.0,0.0,0.014143966804692532,0.0,0.0,0.0874782324885406,0.01492347031983082,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.35473262248230625,0.035158550268691934,0.03622796982017678,0.0,0.038258977770601,0.02164325262808317,0.0,0.0,0.0,0.01390354559868291,0.0,0.0,0.08412245349811497,0.014584717192093612,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.349813799564226,0.03457992878863161,0.035340725944734974,0.0,0.035097408846711066,0.02122632248803801,0.0,0.0,0.0,0.01371234910085503,0.0,0.0,0.08245952696966476,0.01411440345669696,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.3433835133918306,0.032743520829868006,0.03412742852968578,0.0,0.03389091321787547,0.02052249713593703,0.0,0.0,0.0,0.01324459532255603,0.0,0.0,0.07883074888197407,0.013604931393748755,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.3445803765029122,0.03148396952555871,0.008580786335834355,0.0,0.0,0.052547713409380054,0.013004214935255463,0.0,0.0,0.012871179503751533,0.0,0.0,0.07543268324918274,0.013004214935255463,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.34306713106472353,0.030553557830488798,0.008544860960999654,0.0,0.0,0.05226965708241808,0.013047137435220423,0.0,0.0,0.012817291441499483,0.0,0.0,0.07418650121256418,0.013047137435220423,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.011135794297116556,0.0,0.34920075429197894,0.029927925144360434,0.019552499182417596,0.0,0.0,0.05143313170838666,0.012828557656922352,0.0,0.0,0.01262505732795156,0.0,0.0,0.0728476986179875,0.012828557656922352,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,0.011217655732444137,0.0,0.3502086148050703,0.029992338521652524,0.01966526750824522,0.0,0.0,0.05164685019903152,0.012826487421573728,0.0,0.0,0.0,0.0,0.012671417663701624,0.07299328489467144,0.012826487421573728,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.011259390485527333,0.0,0.3503225109153566,0.030018027449230263,0.019711718671081995,0.0,0.0,0.05185501151611696,0.012875406468721432,0.0,0.0,0.0,0.0,0.012678492278331998,0.07309116187029022,0.012875406468721432,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-15,0.011765768674489037,0.0,0.35964235478602,0.030568916196697587,0.0312906414322204,0.03247523683257912,0.0,0.019524872757731362,0.0,0.0,0.0,0.0,0.0,0.026524411045973032,0.07496657760912866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.011378616577056916,0.0,0.3527895743105758,0.0296698993510213,0.030240543627044196,0.02997639879804217,0.0,0.01886192704998728,0.0,0.0,0.0,0.0,0.0,0.025924649804543485,0.07286084814714273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
