regime,start,end,sharpe,sortino,cagr,vol,mdd,calmar,hit,nav,n
Dotcom 2000-02,2000-03-01,2002-12-31,-0.6951,-0.676,-0.0804,0.1117,-0.2511,-0.3204,0.2261,0.789,712
Housing bubble 03-06,2003-01-01,2006-12-31,0.9941,1.4769,0.2172,0.2227,-0.2883,0.7534,0.5303,2.193,1007
GFC 2007-09,2007-06-01,2009-06-30,0.6297,0.9496,0.1318,0.2438,-0.2211,0.596,0.5371,1.294,525
Recovery 2010-14,2010-01-01,2014-12-31,1.1837,1.596,0.2554,0.2111,-0.1607,1.5887,0.5739,3.112,1258
Sideways 2015-16,2015-01-01,2016-12-31,-0.0199,-0.0282,-0.027,0.2146,-0.3388,-0.0796,0.5258,0.947,504
Trump rally 17-18,2017-01-01,2018-12-31,0.9371,1.1061,0.1795,0.1972,-0.2565,0.7,0.5618,1.389,502
2019,2019-01-01,2019-12-31,1.985,2.9777,0.3784,0.169,-0.0798,4.7428,0.5833,1.378,252
COVID crash/rally 2020,2020-01-01,2020-12-31,1.5612,1.7408,0.3741,0.2191,-0.1839,2.0341,0.6206,1.376,253
2021 melt-up,2021-01-01,2021-12-31,0.911,1.1903,0.2039,0.2339,-0.1445,1.4107,0.6111,1.204,252
2022 rate hike,2022-01-01,2022-12-31,-1.9211,-2.5752,-0.326,0.1952,-0.3554,-0.9171,0.4741,0.675,251
2023 recovery,2023-01-01,2023-12-31,1.3216,2.2084,0.3432,0.2461,-0.2151,1.5954,0.524,1.34,250
2024,2024-01-01,2024-12-31,0.5816,0.7861,0.1219,0.2531,-0.1624,0.751,0.5437,1.122,252
2025,2025-01-01,2025-12-31,1.4796,1.9846,0.3442,0.2157,-0.1693,2.0332,0.58,1.341,250
2026 YTD,2026-01-01,2026-04-30,1.3537,1.4505,0.3507,0.2444,-0.1474,2.3798,0.5921,1.095,76
