name,SR,CAGR,VOL,MDD,TO,corr,n
e1_gh52_K2_s5,0.640736088847846,0.18461405105064976,0.3763628840159433,-0.602360051820706,46.12804328223625,0.4713477780856113,2218
e1_gh52_K2_s21,0.36582467056734974,0.06659041585267378,0.4197165633124612,-0.6521466967393417,15.5653742110009,0.46884478688403436,2218
e1_gh52_K3_s5,0.8747080303279517,0.29144725595802323,0.3732900305657522,-0.4987385967253706,32.456266907123535,0.4928987180272056,2218
e1_gh52_K3_s21,0.602739027303199,0.17616036157315862,0.41091414596304454,-0.544895874888383,11.62669071235347,0.5159721697339169,2218
e1_gh52_K4_s5,0.860891506636104,0.2821931815029419,0.368922729798476,-0.4806021989339746,22.155094679891793,0.5175729730753438,2218
e1_gh52_K4_s21,0.5803393193531381,0.16496418595596274,0.40906442548592653,-0.5816136885009573,8.29395852119026,0.5419862884170572,2218
e1_mom252_K2_s5,0.3883510370152537,0.07084178167601562,0.48812319165346024,-0.6497673172162219,14.315599639314698,0.5356666400481351,2218
e1_mom252_K2_s21,0.3579205961300121,0.0532341565324812,0.5028455125705581,-0.6830645233864978,6.930568079350766,0.5310223557653821,2218
e1_mom252_K3_s5,0.4750943880006009,0.11751348859384536,0.45404874477849805,-0.6064668480795665,13.44454463480613,0.5716937169706855,2218
e1_mom252_K3_s21,0.4275339701874548,0.09402243204921112,0.4610805966605489,-0.6466866443592418,6.324616771866546,0.5697048247631648,2218
e1_mom252_K4_s5,0.6241186213660959,0.19233092860703738,0.4363443780866692,-0.5844475488967653,10.623083859332732,0.578153142335975,2218
e1_mom252_K4_s21,0.5358624145593641,0.14866228141498117,0.44493670695927123,-0.6141322631078444,4.828674481514878,0.5781383484878961,2218
e1_mom12_1_K2_s5,0.5859876309748707,0.18104723770397002,0.4986097970705045,-0.6350581209060062,15.338142470694319,0.5327196407435915,2218
e1_mom12_1_K2_s21,0.5489866420884082,0.1600969001261776,0.5093146127926179,-0.6490185655923058,7.725879170423806,0.5081071262344148,2218
e1_mom12_1_K3_s5,0.7121643105866474,0.25129668773411074,0.4742386312037351,-0.6350878525323743,14.126239855725878,0.5384514803380233,2218
e1_mom12_1_K3_s21,0.47297150055125575,0.11693061998195975,0.48949463201370086,-0.6384797895124684,6.248872858431018,0.5104903717438328,2218
e1_mom12_1_K4_s5,0.6418461883343871,0.20745771346548625,0.4611291148126431,-0.6560552187085094,10.509467989179441,0.5507396115926083,2218
e1_mom12_1_K4_s21,0.4934168357462139,0.12777787928021622,0.46381764515618196,-0.6328180088393338,5.169522091974752,0.5325729806311214,2218
e1_momvol126_K2_s5,0.715266286849402,0.23558547014419906,0.42132375000194267,-0.5268014873616134,21.58701532912534,0.5585370656060563,2218
e1_momvol126_K2_s21,0.4218104045656205,0.0914597603517795,0.4516554498134932,-0.6075328268676875,9.770964833183047,0.5697820269769673,2218
e1_momvol126_K3_s5,0.6407152216395516,0.18921159283500422,0.3923204568440847,-0.45874816677563546,17.989179440937782,0.5934153142026004,2218
e1_momvol126_K3_s21,0.49879272092512594,0.12774426041193343,0.41984001240345425,-0.5391188012319872,7.915238954012623,0.5942949719478098,2218
e1_momvol126_K4_s5,0.7068454195577138,0.2200758121960129,0.39136028250427324,-0.43991316029628513,13.577096483318305,0.58322487831775,2218
e1_momvol126_K4_s21,0.610264213804764,0.1790928058006056,0.4078984620994157,-0.5364094572256131,6.589720468890893,0.5899964020820982,2218
e1_gh52tf_K2_s21,0.2589837621458321,0.021561161761053382,0.40885044368393436,-0.656877769690084,16.133453561767357,0.4980202346619382,2218
e1_gh52tf_K3_s21,0.5103843603546407,0.13104488735406883,0.3994123776791542,-0.5581935364287682,12.687105500450857,0.5424900553451337,2218
e1_mom252tf_K2_s21,0.40452638641217414,0.08075285368317853,0.4792065837843485,-0.7120659374244207,7.612263300270515,0.5648537614859367,2218
e1_mom252tf_K3_s21,0.44070910512974015,0.10109423758041292,0.4376612600316231,-0.5625736500671212,7.082055906221822,0.5984726898478816,2218
e1_gh52thr95_K3_s21,0.32741458597141343,0.05163035880578448,0.3953553352393531,-0.5744724384684725,13.596032461677186,0.5335373910855745,2218
e1_gh52thr98_K3_s21,0.26181597360789116,0.03093391865519779,0.3422031245256275,-0.5650717435165111,14.95942290351668,0.4930020335925066,2218
