Date,ret
2014-01-02,-0.0001166079373503257
2014-01-03,-0.0035524923225558392
2014-01-06,-0.0029144551688356276
2014-01-07,-0.000520758955303264
2014-01-08,0.002868998246074008
2014-01-09,0.0030231289559985346
2014-01-10,-0.001956983434551295
2014-01-13,-0.0007699124833183393
2014-01-14,-0.005612293952223719
2014-01-15,0.009861624878649208
2014-01-16,0.003840325016394873
2014-01-17,-0.0011137141730526517
2014-01-21,0.0030541769507099036
2014-01-22,0.0017889759418983292
2014-01-23,-0.001914863814940755
2014-01-24,-0.0037349926673642046
2014-01-27,-0.008942360754263173
2014-01-28,-0.0075670939092939
2014-01-29,-0.003086647716033512
2014-01-30,0.008050268586856623
2014-01-31,-0.015440830719593903
2014-02-03,0.0038900198031468856
2014-02-04,-0.01563210729250692
2014-02-05,-0.0027484398212565624
2014-02-06,1.124558944075397e-05
2014-02-07,0.016426045986590074
2014-02-10,0.007779258977119946
2014-02-11,0.003264509103088391
2014-02-12,0.007639732749046313
2014-02-13,-0.004408359163905036
2014-02-14,0.01088967485481194
2014-02-18,0.0020730639363541396
2014-02-19,0.00020130769154544663
2014-02-20,-0.004408456695318317
2014-02-21,0.0035876588794310433
2014-02-24,-0.0006106432792660485
2014-02-25,0.0016542781964573065
2014-02-26,0.0004931137933375651
2014-02-27,-0.001098263606664373
2014-02-28,0.0029095229869210877
2014-03-03,-0.00641593555233353
2014-03-04,0.006977785819287079
2014-03-05,0.000650166729746559
2014-03-06,0.0005827116666666009
2014-03-07,-0.0006395542017741787
2014-03-10,-0.003675040619518531
2014-03-11,0.0018029754082606532
2014-03-12,-0.0038605355705377273
2014-03-13,0.004947564425782537
2014-03-14,-0.00650699156863061
2014-03-17,-2.5208263672821837e-05
2014-03-18,0.0007361229227884009
2014-03-19,0.003243979315204545
2014-03-20,-0.0036322710666261138
2014-03-21,0.0047283640821344985
2014-03-24,-0.002205660126859897
2014-03-25,-0.001029681292147878
2014-03-26,0.0013671991911903456
2014-03-27,-0.00546078800416664
2014-03-28,6.444411054488897e-05
2014-03-31,0.0013362211824988286
2014-04-01,0.0013762345075508287
2014-04-02,0.0017635486364720083
2014-04-03,0.0004276301506772423
2014-04-04,0.0010759513312283066
2014-04-07,-0.0043927763448277715
2014-04-08,-0.0007168994103250869
2014-04-09,0.0019221424998918006
2014-04-10,0.0022307960467664516
2014-04-11,-0.0037021457175292595
2014-04-14,0.0006597472143253695
2014-04-15,0.0007541798846308332
2014-04-16,0.002151882874385287
2014-04-17,0.00158225483995169
2014-04-21,-0.0009130054364322823
2014-04-22,0.001097775454062599
2014-04-23,0.002661230223452535
2014-04-24,0.0010237908255174195
2014-04-25,-0.0003910264981652409
2014-04-28,-0.0019206595110023903
2014-04-29,-0.0011466824028311142
2014-04-30,0.0005592367725752627
2014-05-01,0.003154737621120278
2014-05-02,0.0016941751436248807
2014-05-05,0.000857284345489784
2014-05-06,0.0007585776382080468
2014-05-07,-0.00035197223024258334
2014-05-08,-0.00018169589323297148
2014-05-09,-0.00130514350527742
2014-05-12,-0.0003253789671480143
2014-05-13,0.002170244515324194
2014-05-14,0.002485643602521149
2014-05-15,0.0018197473750962846
2014-05-16,-0.0014503623802646108
2014-05-19,0.001254195466509901
2014-05-20,-0.001666593454159673
2014-05-21,-0.0011233076453913426
2014-05-22,0.0007770861610024917
2014-05-23,0.0014959837022636823
2014-05-27,0.0020342008077042974
2014-05-28,0.004959825371260106
2014-05-29,0.002420511119134054
2014-05-30,-0.0014626869719585294
2014-06-02,-0.0010200987568730806
2014-06-03,-0.0027165122184140923
2014-06-04,-0.00092419605930591
2014-06-05,0.0003274574986585675
2014-06-06,0.003603785077875044
2014-06-09,-0.0011544278010576384
2014-06-10,-0.0014267138503716132
2014-06-11,0.00017616376794101976
2014-06-12,0.0008705900192484295
2014-06-13,0.00010992292374832166
2014-06-16,0.0013361273020452112
2014-06-17,-0.0007426723552885066
2014-06-18,0.00010540302366318362
2014-06-19,0.0021889958450367845
2014-06-20,-0.0021976584365341625
2014-06-23,0.0026579370328088004
2014-06-24,-0.0002681203635044324
2014-06-25,0.0010060647320552338
2014-06-26,0.005220137157559395
2014-06-27,0.0012845059608058234
2014-06-30,0.0013190951889986045
2014-07-01,-0.0009633795330424558
2014-07-02,-8.180421027202911e-05
2014-07-03,-0.0036841325559603677
2014-07-07,0.0045695451260184036
2014-07-08,0.0019464292592475136
2014-07-09,0.00015681132159083832
2014-07-10,0.0012173864885779103
2014-07-11,0.0022285265605940024
2014-07-14,0.002253256753108254
2014-07-15,-0.0010222251144434195
2014-07-16,0.0015774879124441127
2014-07-17,0.0038829023589073124
2014-07-18,0.00045361088990334195
2014-07-21,0.002254516242597737
2014-07-22,0.003114628602028029
2014-07-23,0.0020534933192982046
2014-07-24,-0.00326713459326033
2014-07-25,0.000751188831856346
2014-07-28,-0.0004802320617327011
2014-07-29,0.0016136229040348011
2014-07-30,-0.0023711902494916314
2014-07-31,-0.011850443510987855
2014-08-01,-0.004562666248194036
2014-08-04,0.004804230000374425
2014-08-05,-0.0018298975419103118
2014-08-06,-0.005703829339082912
2014-08-07,0.0035735074050130123
2014-08-08,-0.0017210764014701336
2014-08-11,0.006733734688610945
2014-08-12,0.0014875276270589811
2014-08-13,0.003053729607572912
2014-08-14,0.00936590753084508
2014-08-15,0.009170007508626793
2014-08-18,0.003650362906283279
2014-08-19,0.0025996014747670217
2014-08-20,-0.005966859666743158
2014-08-21,0.0020634160915875117
2014-08-22,0.002993426985601298
