Date,ret_1m,ret_3m,ret_6m,ret_12m,mom_12_1,dist_52w_high,dist_52w_low,age_52w_high,vol_20d,vol_ratio_20_60,volu_trend,updown_21,max_dret_21,beta_120,corr_120,range_contr,higher_lows6,dd_from_ath,regime_on
2005-01-13,0.07350452939941564,-0.005518288055055625,0.12151792039357413,0.10349935078296817,0.10121974614061877,0.034387306048775476,0.13634125789169463,,0.1510167768174885,-0.054470264744630494,-0.16689188819828238,0.18681047549134247,0.0976868327402135,,,-0.08023025075028288,0.04930908841756538,0.042937482856047815,
2005-01-28,0.08788681671276734,0.12471114580359224,0.14604713583464815,0.10031220728059138,0.11185356250473232,0.04425473014864975,0.18754941901748878,,0.18029021406397036,-0.05486604238756689,-0.20265509946373225,0.14668428840715753,0.13491492606734523,,,-0.07316638513975215,0.11758648125511775,0.04337677248024079,
2005-02-11,0.19841884174757587,0.13549325084861039,0.19701155583981295,0.12725102144943481,0.08397704290555844,0.06658525667448757,0.24823182928311727,-0.12420432580930599,0.07482123021566735,-0.09581877575744462,-0.09448972563425553,0.14707258086878172,0.13443339534992071,,,-0.06341899404693573,0.1274489556057101,0.06692928681678018,
2005-02-28,0.15669850046995706,0.10234537062235075,0.1631073403410981,0.062164657745737636,0.04093262460398852,0.08438245477154574,0.19592723752461164,-0.07826463571035498,0.12886302099492677,0.04992806844855,-0.0504047974372851,0.07521545159993141,0.13854459740928088,,,0.007125637535464191,0.09685475765720097,0.08037763516932432,
2005-03-14,-0.00607080095590103,0.12270109430969327,0.1863768551685527,0.09645045276307278,0.11058472838144731,-0.02987341528450193,0.25495678698525676,-0.09732743939973246,0.2774189492543881,0.08397918332739814,0.028877543294140547,-0.017996011114607413,0.210959564341601,,,-0.006975198078832457,0.17539941410963014,-0.014926905322104677,
2005-03-29,-0.19657607033440982,0.10522506514918395,0.15986407958238943,0.08585446096702963,0.11823337271162777,-0.06680178154854453,0.24739990406228735,-0.04496625790581243,0.2999167108351632,0.05352086014992049,-0.07498350441865244,-0.05252570726299643,0.1774968890306324,,,-0.11391199472141396,0.11829312151376602,-0.052993438803906834,
2005-04-12,-0.030975114653033608,0.04104001499410718,0.09930260459078051,0.03195139150827361,0.05401927502719605,-0.05115874148733738,0.14575907661346174,-0.04531194397179559,0.22520038075046778,-0.010696708455472746,-0.06714188363313826,-0.03552432239237035,0.17338316260857334,,,-0.06024673062986078,0.02713122222403029,-0.0350870924002163,
2005-04-26,-0.030315597173679987,0.02977496928571799,0.12416345700259711,0.07066613929438637,0.08019812814759066,-0.08488775616048702,0.19380651492150666,0.00039932831186623353,0.2603619485183371,0.008553928329580015,0.014864411729710432,-0.09983227520552578,0.18929971016012767,,,-0.06245987650482611,-0.09038155526181393,-0.09269908462356091,
2005-05-10,0.019381621633950928,0.010549124707760734,0.07890589766053072,0.11513305235916148,0.11050719417864822,-0.1000204843650602,0.17356598956803226,0.030852674321501367,0.3806925456203123,0.13698940571455176,0.03623835844627848,0.017683551225370405,0.3208495814740185,,,-0.061533123875478365,-0.15183739744816044,-0.10060385589208035,
2005-05-24,0.1296285600416705,0.004136293097136914,0.11176817273363071,0.19727973788394154,0.15172621008079826,-0.002091822492470551,0.23253905295609853,-0.04994487743431816,0.36571755903082775,0.10346785795411523,0.13571212235935487,0.07326218534605894,0.3005743554454071,,,0.08124020828243325,-0.1308277243312478,-0.021853113904957595,
2005-06-08,0.10549124707760733,0.03985080893902243,0.10604960216561851,0.16789664900318782,0.15519099345936133,-0.010319872516280429,0.2240780214483777,0.014227112580374597,0.2864411500379524,0.0020313902800462953,0.0373973758504689,0.15888170608899685,0.22809699642629822,0.35251188357118124,0.0041524993884818565,0.040891734902486765,-0.09415269218735667,-0.031146473178321463,
2005-06-22,0.10062839375849668,0.040263961390721956,0.07776389659265863,0.17390816911886045,0.1484617803808037,0.006331159000161458,0.19197016733550387,-0.019277795203771184,0.15801840590191776,-0.04901111173242801,-0.047799868035349205,0.10795919004633302,0.11967232282056228,0.25354470134925233,0.015429830236767451,0.062496357788667536,-0.02572330667514625,0.007263695587829467,
2005-07-07,0.011687941952719227,-0.0007830423748267136,0.0009792283328235887,0.09636716137828072,0.10241670856941429,-0.07666640107644081,0.1031226621331497,0.08225289464004104,0.1808405086388778,-0.10120757625975385,-0.042023209098966396,0.03243888764959716,0.16180957663537351,0.24595478650334096,-0.001794647161585634,0.033443424247462064,-0.006775823166516175,-0.06855689594818347,
2005-07-21,0.08026043276364199,0.09033149135844898,0.1964096689078157,0.2524864312855417,0.2423901468570558,0.02684666279074844,0.27748681397459257,0.08091885278268658,0.13502371865561977,-0.15206311926139196,-0.0524031339378274,3.9153534543753136e-05,0.12324375862764461,0.15159947539487942,-0.1081401919059443,-0.03338968919387764,0.1074578822670045,0.06976943424570757,
2005-08-04,0.09318308048602059,0.1558049139563902,0.14608318510757534,0.14277147755966754,0.12866389066645806,0.05481169532524869,0.1821169858032489,-0.038116419063426686,0.1678636445790233,-0.01356246644592009,0.0631409689624099,0.061787890448939266,0.17888712224995876,0.1883441243708108,-0.0764057291855661,0.09962980650612947,0.09389120648882315,0.06774356956149097,
2005-08-18,0.040541104880085915,0.153492522769757,0.10335963653754185,0.13182948932801242,0.13839423861366643,-0.011562008674273207,0.14030975443042196,-0.1335584901610264,0.20716715890014992,0.09349905550162288,-0.030828991291122224,0.05130737046422886,0.1879509450754637,0.25347527820310334,-0.02634088068512915,0.028887415536966242,0.12429606797424357,0.02951673805028919,
2005-09-01,-0.1097870182555781,-0.05210506010151551,-0.038938098817034604,-0.014774459165736933,0.011429125402696574,-0.07871518964516722,-0.032016144496705784,0.07315940266886724,0.01712772626984797,-0.04737640408372115,-0.10302451613427223,-0.015960847013572182,-0.03458549847485623,0.1805751103686911,0.054518653303106235,-0.10570577796187554,-0.09353419005924404,-0.06025394850492951,
2005-09-16,-0.08297091672768289,-0.01659656969591073,-0.04209670683689297,-0.060569542218510124,-0.053398063079187055,-0.10138605107502767,-0.021472948531627917,0.15708226163247127,0.009609533468559838,-0.06603914378304622,-0.11161501100525492,-0.05006749151082214,-0.0006497832398679553,0.1970270055283777,0.09149415344230999,-0.07233010891547477,-0.13403385861393122,-0.08870828815930476,
2005-09-30,0.070754542859164,0.05124452937559529,-0.042760907608479504,-0.0683117567513821,-0.1123220180567156,-0.03051718805475871,-0.032335808543058904,0.05280984702425297,0.02892107147118482,-0.021095774144554637,-0.04026258294550977,0.04173086282286451,0.05924462076920018,0.23353517877739335,0.07850594598894325,0.10479510327071302,-0.06096471533327956,-0.035366373628989076,
