,net_ret,mult,p_bad
2011-03-17,0.0153640572774835,1.0,0.3998970284007979
2011-03-18,0.0040979747297073,1.0,0.3851908066236373
2011-03-21,0.0130539707822117,1.0,0.398578940764968
2011-03-22,9.096708089443412e-05,1.0,0.4038976406150178
2011-03-23,0.0081981202110598,0.9883070781549466,0.44016467472241383
2011-03-24,0.002124080691572189,0.8795059758327586,0.4541636579886557
2011-03-25,-0.0011406056016152405,0.837509026034033,0.4799230036626474
2011-03-28,0.0018254866366167943,0.7602309890120579,0.5014904018350501
2011-03-29,0.0062757725372404975,0.6955287944948497,0.4961933255602872
2011-03-30,0.0055363130528981236,0.7114200233191383,0.5291846796644717
2011-03-31,-0.0007027627331143726,0.612445961006585,0.5668778272104497
2011-04-01,0.0012763571359437726,0.4993665183686511,0.5359918093839869
2011-04-04,0.0033040799281212133,0.5920245718480392,0.5429271933057949
2011-04-05,0.0011181346598186613,0.5712184200826155,0.5448363777234762
2011-04-06,0.005884474097701585,0.5654908668295716,0.5544124382084761
2011-04-07,-0.00035601075630545975,0.5367626853745718,0.539940214808091
2011-04-08,-0.0034889936931549663,0.5801793555757272,0.530405626728989
2011-04-11,-0.0037888508699217734,0.6087831198130329,0.5161222780359891
2011-04-12,-0.0025903393274792643,0.6516331658920328,0.4967426073760062
2011-04-13,0.0013901660642711008,0.7097721778719815,0.48443591106520195
2011-04-14,0.0010745142196766793,0.7466922668043943,0.45079501100178504
2011-04-15,0.007551312387787336,0.8476149669946449,0.4668517604730461
2011-04-18,0.012797259696709345,0.7994447185808617,0.46628843219305904
2011-04-19,0.01900942746736947,0.8011347034208229,0.48116632388777864
2011-04-20,0.004641915337901519,0.7565010283366642,0.5348177635232845
2011-04-21,0.003091277788605393,0.5955467094301466,0.5340767946894419
2011-04-22,0.0,0.5977696159316743,0.5585710466798464
2011-04-25,0.001640056581521965,0.524286859960461,0.574342982851378
2011-04-26,0.001245932502594742,0.47697105144586616,0.5921723513013555
2011-04-27,0.0017411191893946971,0.4234829460959336,0.6314228792176365
2011-04-28,0.00512893946951837,0.30573136234709053,0.6344170684981967
2011-04-29,-0.00035567839567829287,0.29674879450541003,0.6424771904311639
2011-05-02,-0.0011870912918536085,0.2725684287065083,0.6217612028762689
2011-05-03,-0.004043901628986895,0.33471639137119336,0.5975780249727856
2011-05-04,-0.0020327025808764797,0.4072659250816434,0.5692697631514813
2011-05-05,-0.002258921324060276,0.4921907105455563,0.5562334083928956
2011-05-06,0.0010541693898362282,0.5312997748213133,0.5629468363264476
2011-05-09,0.0017711031796528473,0.5111594910206573,0.564584086057189
2011-05-10,-0.001959565227182412,0.506247741828433,0.5512694393989247
2011-05-11,-0.00048128846044545197,0.546191681803226,0.5425566474958133
2011-05-12,-0.00250540164646909,0.57233005751256,0.5341625102760886
