label,ann_ret,cagr,ann_vol,sharpe,max_dd,n_days,start,end,gross_sharpe,ann_cost,avg_turnover
value_z40_f0.1_x1.0,-0.00522,-0.00522,0.00999,-0.523,-0.0669,2500,2010-01-04,2019-12-31,1.321,0.01799,1.6103
value_z40_f0.1_x2.0,-0.00232,-0.00234,0.00941,-0.246,-0.0454,2500,2010-01-04,2019-12-31,1.347,0.01467,1.314
value_z40_f0.1_x3.0,-0.00119,-0.00122,0.00881,-0.135,-0.0358,2500,2010-01-04,2019-12-31,1.272,0.01215,1.0891
value_z40_f0.2_x1.0,-0.00502,-0.00501,0.00759,-0.661,-0.0582,2500,2010-01-04,2019-12-31,1.4,0.01521,1.3644
value_z40_f0.2_x2.0,-0.00222,-0.00222,0.00671,-0.331,-0.039,2500,2010-01-04,2019-12-31,1.201,0.01009,0.9065
value_z40_f0.2_x3.0,-8e-05,-0.0001,0.00594,-0.014,-0.0257,2500,2010-01-04,2019-12-31,1.096,0.00653,0.5844
value_z60_f0.1_x1.0,-0.00363,-0.00365,0.0099,-0.367,-0.0556,2500,2010-01-04,2019-12-31,1.406,0.01712,1.533
value_z60_f0.1_x2.0,-0.00127,-0.00131,0.00926,-0.138,-0.0363,2500,2010-01-04,2019-12-31,1.356,0.01352,1.2102
value_z60_f0.1_x3.0,-0.00073,-0.00076,0.00858,-0.085,-0.0346,2500,2010-01-04,2019-12-31,1.202,0.01084,0.97
value_z60_f0.2_x1.0,-0.00488,-0.00486,0.0074,-0.66,-0.0576,2500,2010-01-04,2019-12-31,1.345,0.01443,1.294
value_z60_f0.2_x2.0,-0.00164,-0.00165,0.00661,-0.248,-0.035,2500,2010-01-04,2019-12-31,1.142,0.00903,0.8088
value_z60_f0.2_x3.0,0.00073,0.00071,0.00586,0.125,-0.0238,2500,2010-01-04,2019-12-31,1.071,0.00548,0.489
value_z120_f0.1_x1.0,-0.00058,-0.00062,0.00982,-0.059,-0.0451,2500,2010-01-04,2019-12-31,1.572,0.01554,1.397
value_z120_f0.1_x2.0,0.00174,0.00169,0.00888,0.196,-0.0276,2500,2010-01-04,2019-12-31,1.507,0.01132,1.0165
value_z120_f0.1_x3.0,0.00124,0.0012,0.00795,0.156,-0.0213,2500,2010-01-04,2019-12-31,1.256,0.00858,0.7693
value_z120_f0.2_x1.0,-0.00209,-0.0021,0.00727,-0.288,-0.0395,2500,2010-01-04,2019-12-31,1.513,0.01269,1.1427
value_z120_f0.2_x2.0,-0.00011,-0.00013,0.0063,-0.017,-0.025,2500,2010-01-04,2019-12-31,1.147,0.00719,0.6453
value_z120_f0.2_x3.0,0.00234,0.00231,0.00568,0.412,-0.0175,2500,2010-01-04,2019-12-31,1.123,0.004,0.3567
value_raw_f0.1_x1.0,-0.00384,-0.00387,0.01145,-0.335,-0.0688,2500,2010-01-04,2019-12-31,0.809,0.01295,1.0472
value_raw_f0.1_x2.0,-0.0005,-0.00055,0.01049,-0.048,-0.0444,2500,2010-01-04,2019-12-31,0.606,0.0068,0.5347
value_raw_f0.1_x3.0,0.00041,0.00036,0.00978,0.042,-0.0358,2500,2010-01-04,2019-12-31,0.48,0.00426,0.3269
value_raw_f0.2_x1.0,-0.00173,-0.00174,0.00725,-0.238,-0.0389,2500,2010-01-04,2019-12-31,1.211,0.01028,0.8862
value_raw_f0.2_x2.0,0.00059,0.00057,0.00703,0.084,-0.0197,2500,2010-01-04,2019-12-31,0.59,0.00353,0.2909
value_raw_f0.2_x3.0,0.00022,0.00019,0.00733,0.03,-0.0251,2500,2010-01-04,2019-12-31,0.274,0.00178,0.1408
carry_h0.5_f0.1_x1.0,0.0034,0.00324,0.0166,0.205,-0.0651,2500,2010-01-04,2019-12-31,0.632,0.00708,0.6122
