window,start,mult,qqq,spy,vs_qqq,vs_spy
2006-01-01_3,2006-01-01,0.6270557116001657,0.7012217285578943,0.7104665018018684,-0.10576685510053374,-0.11740284727029104
2006-01-01_5,2006-01-01,1.566102096808285,1.3177548206390415,1.119201179609557,0.18846243040022292,0.3993034722806792
2006-01-01_10,2006-01-01,2.508086777541239,2.2073485392165613,1.6816853341827551,0.13624411051614738,0.49141264810999163
2006-01-01_end,2006-01-01,20.02568203313432,9.110805024106757,4.726433944108148,1.1980145530660922,3.2369537520137825
2006-04-01_3,2006-04-01,0.7452312506046522,0.7529949177808238,0.6704489206807868,-0.010310384562823072,0.11154068209690005
2006-04-01_5,2006-04-01,1.5593537390511867,1.3782683848134951,1.1879830183304114,0.13138613366815033,0.3126060852643322
2006-04-01_10,2006-04-01,2.359518672980787,2.1455583381851713,1.696656137027515,0.09972245032339466,0.39068761282093667
2006-04-01_end,2006-04-01,20.202407888454925,9.010619394517985,4.6957656437755,1.242066499972906,3.302260679306759
2006-07-01_3,2006-07-01,0.9230521661865206,0.9022638393449226,0.7901571455615318,0.023040186179567046,0.16818808938384766
2006-07-01_5,2006-07-01,1.5503914597606607,1.365294107998742,1.1911424362585004,0.1355732443855895,0.3016003901519939
2006-07-01_10,2006-07-01,2.2420126553195145,2.0545745399410404,1.7021523924789013,0.09122964961098612,0.3171632958517874
2006-07-01_end,2006-07-01,18.981711449194613,8.84463709139298,4.643679561179383,1.1461266587937642,3.0876445497832146
2006-10-01_3,2006-10-01,1.1323859379507544,1.013570658692704,0.9017838603032378,0.1172244660390005,0.2557176811414359
2006-10-01_5,2006-10-01,1.4624424947446493,1.216944003385004,1.0099783660039425,0.20173359717191275,0.44799388182037614
2006-10-01_10,2006-10-01,2.556231854795224,2.204209034079781,1.7382220622977522,0.1597048262087386,0.470601432486794
2006-10-01_end,2006-10-01,19.33970072671088,8.674644924115547,4.598504451292894,1.229451567861462,3.2056501046276953
2007-01-01_3,2007-01-01,1.3287710536255817,1.1303496442443945,0.9922619534547724,0.17553985210817302,0.33913332966076215
